កដប	ក ដប
កដ្ឋគ្គិ	កាត់ ថាក់ គិ
កឋិន	កៈ ថិន
កឋិនត្ថារកិច្ច	កៈ ឋិ ណាត់ ថា រៈ កិច
កណសិលា	កៈ ណៈ សិ ឡា
កណា	កៈ ណា
កណិការ	កៈ ណិ កា
កណ្ដកសញ្ញា	ក័ន ដៈ កៈ ស័ញ ញ៉ា
កណ្ដកសញ្ញា	កន់ ដក ស័ញ ញ៉ា
កណ្ដក់	កន់ ដក់
កណ្ដក់	កន់ ដក់
កណ្ដក់	កន់ ដក់
កណ្ដក់	កន់ ដក់
កណ្ដប	កន់ ដប
កណ្ដាច	កន់ ដាច
កណ្ដាច់	កន់ ដាច់
កណ្ដាច់	កន់ ដាច់
កណ្ដាច់លែះ	កន់ ដាច់ លេះ
កណ្ដាញ់	កន់ ដាញ់
កណ្ដាញ់	កន់ ដាញ់
កណ្ដាញ់ព្រាយ	កន់ ដាញ់ ព្រាយ
កណ្ដាប់	កន់ ដាប់
កណ្ដាប់ចក្រវាល	កន់ ដាប់ ចាក់ ក្រ វ៉ាល
កណ្ដាប់ស្រែង	កន់ ដាប់ ស្រែង
កណ្ដាប់ចង្អេរ	កន់ ដាប់ ចង់ អេ
កណ្ដាប់ចង្អេរ	កន់ ដាប់ ចង់ អេ
កណ្ដាប់ចង្អេរ	កន់ ដាប់ ចង់ អេ
កណ្ដាប់ដៃ	កន់ ដាប់ ដៃ
កណ្ដាប់ដៃដែក	កន់ ដាប់ ដៃ ដែក
កណ្ដារ	កន់ ដា
កណ្ដាល	កន់ ដាល
ឋានកណ្ដាល	ឋាន កន់ ដាល
កណ្ដាល	កន់ ដាល
កណ្ដាល	កន់ ដាល
កណ្ដាលស្ទឹង	កន់ ដាល ស្ទឹង
កណ្ដាស់	កន់ ដាស់
កណ្ដឹង	កន់ ដឹង
កណ្ដឹងគោ	កន់ ដឹង គោ
កណ្ដឹងដំរី	កន់ ដឹង ដំ រ៉ី
កណ្ដឹមឆែប	កន់ ដឹម ឆែប
កណ្ដុក	កន់ ដុក
ធ្ងន់ចិត្តកណ្ដុក	ធ្ងន់ ចិត កន់ ដុក
កណ្ដុរ	កន់ ដុល
កណ្ដុរប្រែង	កន់ ដុល ប្រែង
កណ្ដូង	កន់ ដូង
សក់កណ្ដូង	សក់ កន់ ដូង
កណ្ដូប	កន់ ដូប
កណ្ដូបសេះ	កន់ ដូប សេះ
កណ្ដួយ	កន់ ដួយ
កណ្ដៀខ្មូត	កន់ ដៀ ខ្មូត
កណ្ដៀង	កន់ ដៀង
កណ្ដៀង	កន់ ដៀង
កណ្ដៀត	កន់ ដៀត
កណ្ដៀតក្អម	កន់ ដៀត ក្អម
កណ្ដៀទៀ	កន់ ដៀ ទៀ
កណ្ដៀន	កន់ ដៀន
កណ្ដៀរ	កន់ ដៀ
កណ្ដៀវ	កន់ ដៀវ
កណ្ដេង	កន់ ដេង
កណ្ដេង	កន់ ដេង
កណ្ដែងកណ្ដោច	កន់ ដែង កន់ ដោច
កណ្ដោច	កន់ ដោច
កណ្ដោច	កន់ ដោច
កណ្ដោចកណ្ដែង	កន់ ដោច កន់ ដែង
កណ្ដោល	កន់ ដោល
កណ្ដោលបាត	កន់ ដោល បាត
កណ្ដុំឆែប	កន់ ដុំ ឆែប
កណ្ឋជៈ	កាន់ ឋៈ ជៈ
កណ្ឌ	កាន់
ទុតិយកណ្ឌ	ទុ តិ យ៉ៈ កាន់
កណ្ណធារ	កាន់ ណៈ ធា
កណ្ណធារកិច្ច	កាន់ ណៈ ធា រៈ កិច
កណ្ហាជិនា	កន់ ហា ជិ នា
កតញ្ញុតា	កៈ តាញ់ ញុ តា
កតញ្ញុតាធម៌	កៈ ត័ញ ញុ តា ធ័រ
កតញ្ញូ	កៈ ត័ញ ញូ
កតវេទិតា	កៈ តៈ វេ ទិ តា
កតវេទិនី	កៈ តៈ វេ ទិ នី
កតវេទី	កៈ តៈ វេ ទី
កតាវសាន	កៈ តា វៈ សាន
កតិកា	កៈ តិ កា
កតិកាភេទ	កៈ តិ កា ភេត
កតិកាសញ្ញា	កៈ តិ កា សាញ់ ញ៉ា
កតូបការៈ	កៈ តូ ប៉ៈ កា រៈ
កត់	កត់
បញ្ញាកត់	ប៉័ញ ញ៉ា កត់
កត់	កត់
កត្តា	ក័ត តា
កត្តា	ក័ត តា
កត្តិក	ក័ត ដឹក
កត្តុវាចក	កាត់ តុ វា ចៈ កៈ
កត្តុវាចក	កាត់ តុ វា ចក់
កត្តុវាចកៈ	កាត់ តុ វា ចៈ កៈ
កថា	កៈ ថា
កថាខណ្ឌ	កៈ ថា ខាន់
កថាបទ	កៈ ថា បត់
កថាបរិយោសាន	កៈ ថា ប៉ៈ រ៉ិ យ៉ោ សាន
កថាមគ្គ	កៈ ថា ម័ក
កថាមុខ	កៈ ថា មុក
កថាវសាន	កៈ ថា វៈ សាន
កថាសល្លាប	កៈ ថា ស័ល ឡា ប៉ៈ
កថាភាគ	កៈ ថា ភាក
កថាវត្ថុ	កៈ ថា វ័ត ថុ
កថាវត្ថុ	កៈ ថា វ័ត ថុ
កថិន	កៈ ថិន
កថិនត្ថារកិច្ច	កៈ ថិ ណ័ត ថា រៈ កិច
កន	កន
កនិដ្ឋា	កៈ និត ឋា
កន្តរ៉	កន់ ត រ៉
កន្តាញ	កន់ តាញ
កន្តារ	កន់ តា
កន្តារ	កន់ តា រៈ
កន្តារទ្ធា	កន់ តា រ័ត ធា
ទុព្ភិក្ខកន្តារ	ទុប ភិក ខៈ កន់ តា
និរុទកកន្តារ	និ រុ ទៈ កៈ កន់ តា
និរុទកកន្តារ	និ រុ ទៈ កៈ កន់ តា រៈ
វាឡកន្តារ	វា ឡៈ កន់ តា
អមនុស្សកន្តារ	អៈ មៈ នុស សៈ កន់ តា
កន្តាវរ៉ាវ	កន់ តាវ រ៉ាវ
កន្តិញកន្តុញ	កន់ តិញ កន់ តុញ
កន្តិល	កន់ តឹល
កន្តឹប	កន់ តឹប
កន្តឹប	កន់ តឹប
កន្តឹម	កន់ តឹម
កន្តុញ	កន់ តុញ
កន្តុប	កន់ តុប
កន្តុល	កន់ តុល
កន្តុលឱ	កន់ តុល អោ
កន្តូ	កន់ តូ
កន្តូឡេត	កន់ តូ ឡេត
កន្តើយ	កន់ តើយ
កន្តេះឡង់	កន់ តេះ ឡង់
កន្តែរ៉ែ	កន់ តែ រ៉ែ
កន្តាំង	កន់ តាំង
កន្ត្រ	កន់ ត្រ
កន្ត្រក	កន់ ត្រក
កន្ត្រង	កន់ ត្រង
កន្ត្រង	កន់ ត្រង
កន្ត្រងប្រេង	កន់ ត្រង ប្រេង
កន្ត្រប់	កន់ ត្រប់
កន្ត្រាក់	កន់ ត្រាក់
កន្ត្រាក	កន់ ត្រាក
កន្ត្រាក់សាច់ដុំ	កន់ ត្រាក់ សាច់ ដុំ
កន្ត្រើយ	កន់ ត្រើយ
កន្ត្រេកកន្ត្រាក	កន់ ត្រេក កន់ ត្រាក
កន្ត្រែង	កន់ ត្រែង
កន្ត្រៃ	កន់ ត្រៃ
កន្ត្រោង	កន់ ត្រោង
កន្ត្រោន	កន់ ត្រោន
កន្ថឹក	កន់ ថឹក
កន្ថឹក	កន់ ថឹក
កន្ថោរ	កន់ ថោ
កន្ទក់	កន់ ទក់
កន្ទក់កន្ទេញ	កន់ ទក់ កន់ ទេញ
កន្ទក់អង្កាន់	កន់ ទក់ អង់ កាន់
កន្ទនជៃ	កន់ ទន ជៃ
កន្ទន់បាក់ក	កន់ ទន់ បាក់ ក
កន្ទប	កន់ ទប
កន្ទាទូក	កន់ ទា ទូក
កន្ទាលត្រអាក	កន់ ទាល ត្រ អាក
កន្ទី	កន់ ទី
កន្ទីងរីង	កន់ ទីង រីង
កន្ទឹស	កន់ ទឹស
កន្ទុត	កន់ ទុត
កន្ទុយ	កន់ ទុយ
តោងកន្ទុយ	តោង កន់ ទុយ
កន្ទុយ	កន់ ទុយ
កន្ទុយក្រពើ	កន់ ទុយ ក្រ ពើ
កន្ទុយចចក	កន់ ទុយ ច ចក
កន្ទុយឆ្កែ	កន់ ទុយ ឆ្កែ
កន្ទុយដំរី	កន់ ទុយ ដំ រ៉ី
កន្ទុយដំរី	កន់ ទុយ ដំ រ៉ី
កន្ទុយថ្លែន	កន់ ទុយ ថ្លែន
កន្ទុយប្រា	កន់ ទុយ ប្រា
កន្ទុយលឹន	កន់ ទុយ លឹន
កន្ទុយលេខ	កន់ ទុយ ឡេក
កន្ទុយអណ្ដើក	កន់ ទុយ អន់ ដើក
កន្ទុល	កន់ ទុល
កន្ទូតអូង	កន់ ទូត អូង
កន្ទួត	កន់ ទួត
កន្ទួត	កន់ ទួត
កន្ទួតប្រោង	កន់ ទួត ប្រោង
កន្ទួតព្រៃ	កន់ ទួត ព្រៃ
កន្ទួល	កន់ ទួល
កន្ទើញ	កន់ ទើញ
កន្ទើញ	កន់ ទើញ
កន្ទេចអាល	កន់ ទេច អាល
កន្ទេចអាល	កន់ ទេច អាល
កន្ទេល	កន់ ទេល
កន្ទែក	កន់ ទែក
កន្ទែក	កន់ ទែក
កន្ទោក	កន់ ទោក
កន្ទោង	កន់ ទោង
កន្ទោងចុងស្លឹក	កន់ ទោង ចុង ស្លឹក
កន្ទោងបាយដារ	កន់ ទោង បាយ ដា
កន្ទុំរុយ	កន់ ទុំ រុយ
កន្ទាំងបាយស	កន់ ទាំង បាយ ស
កន្ទាំងហែ	កន់ ទាំង ហែ
កន្ទាំមីង	កន់ ទាំ មីង
កន្ទះរា	កន់ ទះ រា
កន្ទ្រង់	កន់ ទ្រង់
កន្ទ្រម	កន់ ទ្រម
កន្ទ្រល	កន់ ទ្រល
កន្ទ្រាញ	កន់ ទ្រាញ
កន្ទ្រាញ	កន់ ទ្រាញ
កន្ទ្រឹប	កន់ ទ្រឹប
កន្ទ្រឹម	កន់ ទ្រឹម
កន្ទ្រឹស	កន់ ទ្រឹស
កន្ទ្រុប	កន់ ទ្រុប
កន្ទ្រួក	កន់ ទ្រួក
កន្ទ្រួប	កន់ ទ្រួប
កន្ទ្រើង	កន់ ទ្រើង
កន្ទ្រែត	កន់ ទ្រែត
កន្ទ្រោក	កន់ ទ្រោក
កន្ទ្រោកដំរី	កន់ ទ្រោក ដំ រ៉ី
កន្ទ្រុំ	កន់ ទ្រុំ
កន្ទ្រាំ	កន់ ទ្រាំ
កន្ធរ	កន់ ធ
កន្ធា	កន់ ធា
កន្ធាញ	កន់ ធាញ
កន្ធាត់	កន់ ធាត់
កន្ធាយ	កន់ ធាយ
កន្ធិងកន្ធាំង	កន់ ធិង កន់ ធាំង
កន្ធីង	កន់ ធីង
កន្ធឹប	កន់ ធឹប
កន្ធុក	កន់ ធុក
កន្ធុច	កន់ ធុច
កន្ធុល	កន់ ធុល
កន្ធួក	កន់ ធួក
កន្ធែក	កន់ ធែក
កន្ធែក	កន់ ធែក
កន្ធំថេត	កន់ ធំ ថេត
កន្ធាំង	កន់ ធាំង
កន្យា	ក័ន យ៉ា
កន្លង	កន់ ឡង
កន្លងខ្នប់	កន់ ឡង ខ្នប់
កន្លងភ្នំ	កន់ ឡង ភ្នំ
កន្លង់	កន់ ឡង់
កន្លង់	កន់ ឡង់
កន្លាញ់	កន់ ឡាញ់
កន្លេងកន្លាញ់	កន់ ឡេង កន់ ឡាញ់
កន្លាត	កន់ ឡាត
កន្លាត	កន់ ឡាត
កន្លាស់	កន់ ឡាស់
កន្លាស់	កន់ ឡាស់
កន្លាស់	កន់ ឡាស់
កន្លុក	កន់ ឡុក
កន្លុះ	កន់ ឡុះ
កន្លើត	កន់ ឡើត
កន្លើតចក	កន់ ឡើត ចក
កន្លៀត	កន់ លៀត
កន្លេង	កន់ ឡេង
កន្លែង	កន់ ឡែង
កន្លោង	កន់ ឡោង
កន្លះ	កន់ ឡះ
កន្លះប្លង់	កន់ ឡះ ប្លង់
កន្សែង	កន់ សែង
កន្សែង	កន់ សែង
កន្សែង	កន់ សែង
កន្សែងដៃ	កន់ សែង ដៃ
កន្សែងពោះគោ	កន់ សែង ពោះ គោ
កន្សែងយ័ន្ត	កន់ សែង យ័ន
កន្សែងរុំក	កន់ សែង រុំ ក
កន្សែងស្រស់	កន់ សែង ស្រស់
កន្សៃ	កន់ សៃ
កន្សៃ	កន់ សៃ
កន្សៃសារពេជ្ញ	កន់ សៃ សា រ៉ៈ ពេច
កន្សោម	កន់ សោម
កន្សោមពីជគណិត	កន់ សោម ពិច គៈ និត
កន្សោមតាឱ	កន់ សោម តា អោ
កន្សោមពង	កន់ សោម ពង
កន្សោមពាក្យ	កន់ សោម ពាក
កន្សោមស្អិត	កន់ សោម ស្អិត
កន្សោមអាទិភាព	កន់ សោម អា ទិ ភាប
កន្សុំ	កន់ សុំ
កប	កប
កបិចិត្ត	កៈ ប៉ិ ចិត
កបិលមហាព្រហ្ម	កៈ បិល មៈ ហា ព្រំ
កបិលវត្ថុ	កៈ បិល វ័ត ថុ
កបោតបក្សី	កៈ ប៉ោ តៈ បាក់ សី
កប់	កប់
កប់ច្បាក់	កប់ ច្បាក់
កប់ដើម	កប់ ដើម
កប់ពពក	កប់ ព ពក
កប់យោបល់	កប់ យោ បល់
កប៌ូរ	ក័រ រ បូ
កប៌ូរ	ក រ បូ
កប្ប	កាប់
កប្បព្រឹក្ស	កាប់ ប៉ៈ ព្រឹក
កប្បាស	កាប់ បាស
កប៉ាល់	កៈ ប៉ាល់
កប៉ាល់ភ្លើង	កៈ ប៉ាល់ ភ្លើង
